account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Conto Unicredit;TRANSFER;EUR;1091,00;1091,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2021-04-10 21:20:33;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-1091,00;-1091,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto Unicredit;2021-04-10 21:20:33;;;;0;true;;;20001;false
Conto Unicredit;Trasporto pubblico;EUR;-2,00;-2,00;Spese;DEBIT_CARD;Carta di debito;Biglietto metropolitana;2021-04-10 19:58:58;;;;0;false;;;4000;false
Conto Unicredit;TRANSFER;EUR;-200,00;-200,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto emergenza;2021-04-10 07:59:27;;;;0;true;;;20001;false
Conto d'emergenza;TRANSFER;EUR;200,00;200,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto emergenza;2021-04-10 07:59:27;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-800,00;-800,00;Spese;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2021-04-10 07:59:20;;;;0;true;;;20001;false
Conto Deposito Santander;TRANSFER;EUR;800,00;800,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento in conto deposito;2021-04-10 07:59:20;;;;0;true;;;20001;false
PAC;TRANSFER;EUR;700,00;700,00;Entrata;TRANSFER;Bonifico bancario;Trasferimento a Degiro;2021-04-10 07:56:12;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;-700,00;-700,00;Spese;TRANSFER;Bonifico bancario;Trasferimento a Degiro;2021-04-10 07:56:12;;;;0;true;;;20001;false
Conto Arancio;Stipendio;EUR;1266,00;1266,00;Entrata;TRANSFER;Bonifico bancario;Stipendio Gaia base;2021-04-10 00:30:06;;;;0;false;;;10000;false
Ticket;Stipendio;EUR;168,00;168,00;Entrata;VOUCHER;Coupon;Stipendio Niccolò Ticket;2021-04-10 00:28:54;;;;0;false;;;10000;false
Conto Unicredit;Stipendio;EUR;1786,06;1786,06;Entrata;TRANSFER;Bonifico bancario;Stipendio Niccolò base;2021-04-10 00:28:48;;;;0;false;;;10000;false
Conto Unicredit;Telefono;EUR;-16,00;-16,00;Spese;CASH;Contanti;Telefono Gaia;2021-04-08 12:00:00;;;;0;false;;;7001;false
Revolut;Bar & Locali;EUR;-0,35;-0,35;Spese;MOBILE_PAYMENT;Pagamento mobile;Caffe;2021-04-07 13:12:21;;;;0;false;;;1002;false
Contanti;TRANSFER;EUR;-400,00;-400,00;Spese;CASH;Contanti;Trasferimento in conto Unicredit;2021-04-07 07:58:13;;;;0;true;;;20001;false
Conto Unicredit;TRANSFER;EUR;400,00;400,00;Entrata;CASH;Contanti;Trasferimento in conto Unicredit;2021-04-07 07:58:13;;;;0;true;;;20001;false
Contanti;Bar & Locali;EUR;-1,00;-1,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-04-06 21:10:04;;;;0;false;;;1002;false
Contanti;Manutenzione;EUR;-144,00;-144,00;Spese;CASH;Contanti;Ana;2021-04-06 00:12:51;;;;0;false;;;3004;false
Contanti;TRANSFER;EUR;140,00;140,00;Entrata;DEBIT_CARD;Carta di debito;Trasferimento in conto Unicredit;2021-04-05 11:00:14;;;;0;true;;;20001;false
Conto Arancio;TRANSFER;EUR;-140,00;-140,00;Spese;DEBIT_CARD;Carta di debito;Trasferimento in conto Unicredit;2021-04-05 11:00:14;;;;0;true;;;20001;false
Conto Arancio;Spesa;EUR;-6,28;-6,28;Spese;DEBIT_CARD;Carta di debito;Spesa;2021-04-05 10:59:59;;;;0;false;;;1000;false
Conto Unicredit;Spesa;EUR;-89,39;-89,39;Spese;DEBIT_CARD;Carta di debito;Spesa;2021-04-03 20:07:16;;;;0;false;;;1000;false
Ticket;Spesa;EUR;-56,00;-56,00;Spese;VOUCHER;Coupon;Spesa con ticket;2021-04-03 20:06:59;;;;0;false;;;1000;false
Contanti;Casa & Giardino;EUR;-10,00;-10,00;Spese;CASH;Contanti;Fiori;2021-04-03 11:18:47;;;;0;false;;;2004;false
Conto Arancio;Salute;EUR;-26,80;-26,80;Spese;DEBIT_CARD;Carta di debito;Farmacia;2021-04-03 11:18:16;;;;0;false;;;6000;false
Contanti;Bar & Locali;EUR;-3,00;-3,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-04-02 18:39:09;;;;0;false;;;1002;false
Contanti;Stipendio;EUR;400,00;400,00;Entrata;CASH;Contanti;Stipendio Gaia base;2021-04-01 21:04:23;;;;0;false;;;10000;false
Contanti;Bar & Locali;EUR;-2,00;-2,00;Spese;CASH;Contanti;Caffe Gaia lavoro;2021-04-01 20:57:50;;;;0;false;;;1002;false
Conto Unicredit;Tariffe, tasse;EUR;-3,85;-3,85;Spese;CASH;Contanti;Tassa conto corrente;2021-04-01 12:00:00;;;;0;false;;;8005;false
Conto Unicredit;Mutuo;EUR;-570,28;-570,28;Spese;CASH;Contanti;Mutuo;2021-04-01 12:00:00;;;;0;false;;;3001;false
Conto Unicredit;Spesa;EUR;-3,99;-3,99;Spese;MOBILE_PAYMENT;Pagamento mobile;Spesa;2021-03-31 20:22:14;;;;0;false;;;1000;false
Conto Unicredit;Bar & Locali;EUR;-6,00;-6,00;Spese;DEBIT_CARD;Carta di debito;Gelato;2021-03-30 18:48:14;;;;0;false;;;1002;false
